le_id,sub_prof_id,client_id,account_number,lend_type,lend_type_description,account_type,product,product_type,dr_cr_indicator,portfolio_id,purpose_code,outstanding_amount,sanctioned_amount,interest_rate_pct,account_open_date,maturity_date,mth_end,src,cty
LE001,SP001,C100654,SC126855092,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SJ,WORKING CAPITAL,267457,274852,6.12,2016-08-07,2028-01-02,2024-12-31,ACB,SG
LE001,SP001,C100692,SC734036506,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,COMMODITY MURABAHA-CLASSIC,53536,56950,2.09,2022-05-29,2029-06-18,2024-12-31,ACB,SG
LE001,SP001,C100517,SC702632297,600,600 SCB Direct,Loan,TERM,L,DR,SJ,TEMPORARY BRIDGING LOAN,789545,910729,1.14,2018-04-02,2029-12-22,2024-12-31,ACB,SG
LE001,SP001,C100828,SC914763202,600,600 SCB Direct,Loan,TERM,L,DR,SC,COMMERCIAL PROPERTY LOAN - SME,91046,100608,2.28,2023-02-12,2029-04-08,2024-12-31,ACB,SG
LE001,SP001,C100980,DB209747451,600,600 SCB Direct,Loan,TERM,L,DR,SA,INDUSTRIAL PROPERTY LOAN - SME,207308,286635,4.02,2021-01-01,2029-10-27,2024-12-31,ACB,SG
LE001,SP001,C100826,SC883543540,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SI,COMMODITY MURABAHA-CLASSIC,368223,480448,1.98,2018-09-01,2030-02-21,2024-12-31,ACB,SG
LE001,SP001,C100849,DB719927151,600,600 SCB Direct,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,LEFS-COMMERCIAL MACHINERY LOAN (HP),65642,84183,4.19,2022-04-21,2030-02-06,2024-12-31,ACB,SG
LE001,SP001,C100081,OC208449460,801,801 Provisions,Loan,REVOLVING,L,DR,SI,LEFS-COMMERCIAL MACHINERY LOAN (HP),86727,97094,4.6,2020-10-07,2028-09-05,2024-12-31,ACB,SG
LE001,SP001,C100379,DB324956459,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SJ,ACQUISITION FINANCING,94430,96524,5.25,2016-09-06,2029-08-07,2024-12-31,ACB,SG
LE001,SP001,C100167,UB507437181,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SC,HOUSING LOAN - COMMERCIAL,89299,106220,1.68,2016-03-29,2027-06-26,2024-12-31,ACB,SG
LE001,SP001,C100234,SC964411347,801,801 Provisions,Loan,TERM,L,DR,SC,COMMODITY MURABAHA-CLASSIC,89169,122202,1.85,2022-06-29,2030-05-20,2024-12-31,ACB,SG
LE001,SP001,C100217,UB524806516,801,801 Provisions,Loan,MORTGAGE_LOANS,L,DR,SC,WORKING CAPITAL,95449,95554,7.37,2022-02-03,2029-10-20,2024-12-31,ACB,SG
LE001,SP001,C100764,UB726563708,801,801 Provisions,Loan,REVOLVING,L,DR,SJ,WORKING CAPITAL,370476,460934,3.18,2019-02-22,2032-05-22,2024-12-31,ACB,SG
LE001,SP001,C100093,SC217734861,600,600 SCB Direct,Loan,MORTGAGE_LOANS,L,DR,SI,HOUSING LOAN - RESIDENTIAL,2619025,3244259,2.29,2024-02-23,2031-03-04,2024-12-31,ACB,SG
LE001,SP001,C100390,UB668132202,801,801 Provisions,Loan,BUSINESS_EQUIPMENT_FINANCING,L,DR,SA,LEFS-COMMERCIAL MACHINERY LOAN (HP),340600,352273,1.62,2018-11-02,2029-11-05,2024-12-31,ACB,SG
LE001,SP001,C100787,DB219778234,801,801 Provisions,Loan,TERM,L,DR,SJ,TEMPORARY BRIDGING LOAN,59332,78120,2.9,2024-10-27,2029-10-22,2024-12-31,ACB,SG
LE001,SP001,C100995,OC645119047,600,600 SCB Direct,Loan,REVOLVING,L,DR,SJ,WORKING CAPITAL,102678,124386,2.97,2020-08-31,2028-08-31,2024-12-31,ACB,SG
LE001,SP001,C100552,SC743111853,801,801 Provisions,Loan,TERM,L,DR,SA,COMMODITY MURABAHA-CLASSIC,52546,53958,6.62,2020-10-15,2030-04-21,2024-12-31,ACB,SG
