le_id,sub_prof_id,client_id,account_id,account_type,product,product_type,product_code,currency,opening_balance,closing_balance,avg_balance,net_flow,transaction_count,interest_amount,interest_rate_pct,status_code,account_open_date,account_close_date,mth_end,src,cty
LE001,SP001,C100654,AC100000,DEAL,FC FIXED DEPOSITS,DEPOSIT,614,AUD,398685.66,391772.44,395229.05,32384.43,2,3546.06,1.124,Active,2018-03-11,,2024-12-30,EBBS,SG
LE001,SP001,C100758,AC100001,DEAL,FC CALL DEPOSITS,DEPOSIT,936,AED,311616.52,362142.28,336879.4,-29043.91,4,550.34,0.159,Active,2020-02-11,,2024-12-30,EBBS,SG
LE001,SP001,C100616,AC100002,DEAL,ESCROW FCY,C,420,SGD,205132.45,220844.82,212988.64,-45401.2,5,2324.61,3.253,Active,2023-04-23,,2024-12-30,EBBS,SG
LE001,SP001,C100459,AC100003,ACCOUNT,PRIVATE BANK CASH ACCOUNT,C,680,INR,260397.43,279182.33,269789.88,-30031.93,4,83.39,4.031,Active,2021-12-18,,2024-12-30,EBBS,SG
LE001,SP001,C100284,AC100004,DEAL,BUSINESS OVERDRAFT,C,572,AED,108219.82,127687.27,117953.55,-63255.96,9,2683.98,0.473,Active,2016-04-10,,2024-12-30,EBBS,SG
LE001,SP001,C100352,AC100005,ACCOUNT,PRIVATE BANK CASH ACCOUNT,C,680,SGD,203634.14,124469.43,164051.79,38685.02,4,576.28,2.303,Active,2021-07-14,,2024-12-30,EBBS,SG
LE001,SP001,C100080,AC100006,ACCOUNT,FCY SECURITIES SETTLEMENT ACCOUNT,C,567,EUR,70768.8,101352.61,86060.71,51549.98,3,2362.56,0.97,Active,2018-05-13,,2024-12-30,EBBS,SG
LE001,SP001,C100233,AC100007,ACCOUNT,BAD DEBT P&L,C,349,INR,332505.37,381282.63,356894,-23958.71,6,128.68,0.514,Active,2018-08-26,,2024-12-30,EBBS,SG
LE001,SP001,C100854,AC100008,ACCOUNT,BONUS SAVER ACCOUNT(ONLINE),S,588,USD,589185.41,628965.18,609075.3,74771.71,3,1176.36,1.055,Active,2018-02-11,,2024-12-30,EBBS,SG
LE001,SP001,C100663,AC100009,DEAL,INWARD COLLECTION,C,268,EUR,367500.18,419624.76,393562.47,45176.62,4,538,3.648,Active,2021-07-10,,2024-12-30,EBBS,SG
LE001,SP001,C100276,AC100010,DEAL,ONEACCOUNT,C,137,INR,123397.44,98309.59,110853.51,45770.11,7,1157.5,3.844,Active,2016-07-24,,2024-12-30,EBBS,SG
LE001,SP001,C100032,AC100011,ACCOUNT,CHEQUE AND SAVE ACCOUNT,C,465,AED,43156.74,-30019.01,6568.86,14806.01,1,1022.11,1.063,Active,2015-12-14,,2024-12-30,EBBS,SG
LE001,SP001,C100735,AC100012,ACCOUNT,BUSINESS OVERDRAFT,C,572,JPY,366148.3,345116.03,355632.17,-17135.73,8,1104.55,4.425,Active,2024-03-05,,2024-12-30,EBBS,SG
LE001,SP001,C100271,AC100013,DEAL,CASH Collateral - SGD,C,651,SGD,229012.73,179383.42,204198.08,5117.38,3,365.22,2.927,Active,2021-04-20,,2024-12-30,EBBS,SG
LE001,SP001,C100370,AC100014,DEAL,BONUS SAVER,S,272,AED,29883.68,8808.77,19346.22,16991.05,6,485.24,3.781,Active,2024-01-24,,2024-12-30,EBBS,SG
LE001,SP001,C100642,AC100015,DEAL,PRIVATE BANK CASH ACCOUNT,C,680,EUR,434742.84,544265.62,489504.23,-49526.82,3,632.6,0.327,Active,2020-07-12,,2024-12-30,EBBS,SG
LE001,SP001,C100541,AC100016,ACCOUNT,ESCROW FCY,C,420,SGD,420265.37,423693.52,421979.45,-53115.19,5,1447.18,3.606,Active,2019-10-04,,2024-12-30,EBBS,SG
LE001,SP001,C100768,AC100017,ACCOUNT,PAYROLL SUSPENSE SCB PAY ERR ACC,C,194,AED,525406.89,463863.67,494635.28,11373,5,3114.29,1.475,Active,2025-09-28,,2024-12-30,EBBS,SG
LE001,SP001,C100976,AC100018,ACCOUNT,DEMAND DRAFT,C,170,EUR,294780.28,228757.45,261768.87,26097.08,4,1093.97,4.564,Active,2022-06-07,,2024-12-30,EBBS,SG
LE001,SP001,C100861,AC100019,DEAL,BONUS SAVER,S,272,INR,290515.31,332885.38,311700.34,8741.65,5,1933.71,0.816,Active,2019-10-31,,2024-12-30,EBBS,SG
LE001,SP001,C100940,AC100020,DEAL,INWARD COLLECTION,C,268,JPY,507990.94,571410.42,539700.68,21224.31,3,2381.07,0.107,Active,2015-12-04,,2024-12-30,EBBS,SG
LE001,SP001,C100851,AC100021,ACCOUNT,CASH Collateral - SGD,C,651,AUD,551469.42,539489.69,545479.55,60469.1,5,1575.92,4.391,Active,2024-10-26,,2024-12-30,EBBS,SG
LE001,SP001,C100749,AC100022,ACCOUNT,FCY SECURITIES SETTLEMENT ACCOUNT,C,567,INR,216792.03,209928.44,213360.23,-6206.62,7,1980.68,2.668,Active,2018-05-19,,2024-12-30,EBBS,SG
LE001,SP001,C100486,AC100023,DEAL,CASH IN HAND,C,979,AUD,484043.7,488667.64,486355.67,31503.75,4,4025.87,4.645,Active,2018-01-16,,2024-12-30,EBBS,SG
LE001,SP001,C100205,AC100024,ACCOUNT,CHEQUE AND SAVE ACCOUNT,C,465,JPY,343114.94,371154.17,357134.55,54152.56,10,2607.6,4.499,Active,2022-12-31,,2024-12-30,EBBS,SG
LE001,SP001,C100230,AC100025,DEAL,CASH-ATM,C,773,EUR,292918.46,301727.51,297322.98,-57628.27,2,2501.54,2.774,Active,2025-09-12,,2024-12-30,EBBS,SG
LE001,SP001,C100072,AC100026,DEAL,CASH Collateral - SGD,C,651,AED,1125863.43,1032500.17,1079181.8,34313.01,1,2725.43,4.3,Active,2023-02-10,,2024-12-30,EBBS,SG
LE001,SP001,C100285,AC100027,ACCOUNT,BUSINESS OVERDRAFT,C,572,SGD,11227.25,65674.78,38451.01,3214,4,1655.49,4.678,Active,2020-06-23,,2024-12-30,EBBS,SG
LE001,SP001,C100248,AC100028,ACCOUNT,PRIVATE BANK CASH ACCOUNT,C,680,AUD,1155614.38,1247785.07,1201699.73,68171.77,6,2157.53,0.481,Active,2021-10-21,,2024-12-30,EBBS,SG
LE001,SP001,C100433,AC100029,ACCOUNT,CURRENT ACCOUNT NON INTEREST BEARING,C,885,SGD,401994.91,445282.67,423638.79,-60014.82,5,169,3.271,Active,2025-02-05,,2024-12-30,EBBS,SG
LE001,SP001,C100412,AC100030,ACCOUNT,PRIVATE BANK CASH ACCOUNT,C,680,AUD,1048862.48,1100485.74,1074674.11,-75968.5,2,468.47,0.966,Active,2024-03-16,,2024-12-30,EBBS,SG
LE001,SP001,C100432,AC100031,DEAL,CASH IN HAND,C,979,AUD,105043.22,198643.5,151843.36,-972.11,5,1365.18,4.374,Active,2016-09-19,,2024-12-30,EBBS,SG
LE001,SP001,C100882,AC100032,DEAL,FLEXI TIME DEPOSIT,DEPOSIT,566,AED,148635.14,125351.9,136993.52,2925.45,3,5195.99,4.633,Active,2023-11-30,,2024-12-30,EBBS,SG
LE001,SP001,C100416,AC100033,ACCOUNT,DEBIT CARD ANNUAL FEE,C,606,INR,119016.99,122061.82,120539.4,32358.13,9,752.19,2.011,Active,2021-07-12,,2024-12-30,EBBS,SG
LE001,SP001,C100002,AC100034,ACCOUNT,CASH IN HAND,C,979,USD,5426.89,15806.8,10616.84,44249.52,2,429.06,2.121,Active,2016-12-29,,2024-12-30,EBBS,SG
LE001,SP001,C100569,AC100035,ACCOUNT,BONUS SAVER,S,272,USD,342806.19,308160.71,325483.45,44979.99,8,1114.6,1.096,Active,2017-07-12,,2024-12-30,EBBS,SG
LE001,SP001,C100555,AC100036,DEAL,OUTWARD RTGS,C,496,AED,67681.09,125777.96,96729.52,77642.99,7,379.04,0.26,Active,2016-03-20,,2024-12-30,EBBS,SG
LE001,SP001,C100543,AC100037,DEAL,FLEXI TIME DEPOSIT,DEPOSIT,566,INR,91583.82,60929.09,76256.46,95615.88,7,2630.45,0.937,Active,2018-03-17,,2024-12-30,EBBS,SG
LE001,SP001,C100882,AC100038,DEAL,CHEQUE AND SAVE ACCOUNT,C,465,EUR,79658.63,79217.78,79438.21,-104500.89,3,4040.86,1.239,Active,2018-11-01,,2024-12-30,EBBS,SG
LE001,SP001,C100083,AC100039,ACCOUNT,ONEACCOUNT,C,137,USD,445536.54,513430.58,479483.56,-21665.17,3,907.65,1.029,Active,2023-02-07,,2024-12-30,EBBS,SG
LE001,SP001,C100271,AC100040,ACCOUNT,BONUS SAVER,S,272,JPY,661741.74,637872.65,649807.2,-33211.37,5,3220.22,1.588,Active,2024-12-18,,2024-12-30,EBBS,SG
LE001,SP001,C100009,AC100041,ACCOUNT,INWARD COLLECTION,C,268,AED,79070.3,78842.16,78956.23,-34117.13,4,403.61,2.693,Active,2024-04-17,,2024-12-30,EBBS,SG
LE001,SP001,C100955,AC100042,ACCOUNT,BAD DEBT P&L,C,349,USD,156495.94,176581.53,166538.73,34507.2,2,302.44,1.432,Active,2019-09-08,,2024-12-30,EBBS,SG
LE001,SP001,C100720,AC100043,ACCOUNT,INWARD COLLECTION,C,268,SGD,227861.07,277036.29,252448.68,23681.37,7,608.7,4.087,Active,2018-05-04,,2024-12-30,EBBS,SG
LE001,SP001,C100106,AC100044,DEAL,CASH IN HAND,C,979,AED,155627.23,204442.69,180034.96,-72642.47,4,2068.01,3.715,Active,2022-08-14,,2024-12-30,EBBS,SG
